ProductName,Brand,Category,SubCategory,Size,Specifications,Unit,UnitPrice,Quantity,MaximumStockLevel,RestockLevel,StorageType,Location,Supplier,SupplierCode
PVC Pipe,Neltex,Plumbing,Pipes,1/2 inch,"Length: 10ft, Blue",pcs,75,75,300,60,At Ease,STR A1,ABC Plumbing,NLT-PVC-12
PVC Pipe,Emerald,Plumbing,Pipes,1/2 inch,"Length: 10ft, Orange",pcs,70,70,300,60,At Ease,STR A1,XYZ Supply,EM-PVC-12
PVC Pipe,Atlanta,Plumbing,Pipes,3/4 inch,"Length: 10ft, Blue",pcs,95,90,300,60,At Ease,STR A1,ABC Plumbing,ATL-PVC-34
PVC Fittings,Neltex,Plumbing,Fittings,1/2 inch,Elbow 90°,pcs,15,200,500,100,At Ease,STR A2,ABC Plumbing,NLT-EL-12
Common Nails,Local,Hardware,Nails,2 inches,"Common, Bright",kg,85,100,300,60,At Ease,STR B1,ABC Hardware,CN-2IN
Wood Screws,Local,Hardware,Screws,1-1/2 inch,Black Phosphate,box,280,60,180,36,At Ease,STR B1,Fastener Pro,WS-112
GI Wire,Local,Hardware,Wire,#16,Galvanized,kg,95,80,200,40,At Ease,STR B1,ABC Hardware,GI-16
Claw Hammer,Stanley,Tools,Hand Tools,16 oz,Steel Handle,pcs,450,30,100,20,At Ease,STR B2,Tool Masters,ST-51272
Measuring Tape,Stanley,Tools,Hand Tools,5m,Retractable,pcs,180,40,120,24,At Ease,STR B2,Tool Masters,ST-30-5M
Screwdriver Set,Stanley,Tools,Hand Tools,6 pcs,Basic Set,set,750,40,120,24,At Ease,STR B2,Tool Masters,ST-65223
Drill Machine,Stanley,Tools,Power Tools,N/A,20V Max Lithium-Ion,unit,8500,15,30,5,Goods,STR B3,Tool Masters,DW-DCD777
Angle Grinder,Makita,Tools,Power Tools,4 inch,740W,unit,3200,20,40,8,Goods,STR B3,Power Tools Inc,MK-GA4030
Circular Saw,Bosch,Tools,Power Tools,7-1/4 inch,1100W,unit,6500,12,25,5,Goods,STR B3,Tool Masters,BS-GKS7000
LED Bulb,Philips,Electrical,Lighting,9W,Cool Daylight,pcs,120,100,300,60,At Ease,STR C1,Bright Solutions,PH-LED9W
Wire,Phelps Dodge,Electrical,Wiring,2.0mm²,"THHN, 150m",roll,2800,15,30,6,Goods,STR C1,Electric Masters,PD-THHN2
Circuit Breaker,Schneider,Electrical,Protection,15A,Single Pole,pcs,250,40,100,20,Goods,STR C1,Electric Masters,SC-CB15
Portland Cement,Republic,Construction,Cement,40kg,Type 1,bag,245,500,1000,200,Goods,STR C2,ABC Hardware,RC-T1-40
Portland Cement,Holcim,Construction,Cement,40kg,Type 1,bag,255,450,1000,200,Goods,STR C2,XYZ Supply,HC-T1-40
Sand,Local,Construction,Aggregates,50kg,Washed,bag,75,200,500,100,Goods,STR C2,ABC Hardware,SND-F50
Latex Paint,Boysen,Paint,Interior,4L,Pure White,gallon,750,40,120,24,At Ease,STR C3,Paint Supply,BY-LTX4L-W
Paint Brush,Purdy,Paint,Accessories,4 inch,Polyester,pcs,350,30,90,18,At Ease,STR C3,Paint Supply,PD-XL4
Safety Helmet,3M,Safety,Head Protection,Adjustable,White,pcs,450,40,120,24,At Ease,STR C3,Safety First,3M-H701R
Safety Glasses,3M,Safety,Eye Protection,Standard,Clear,pcs,180,60,180,36,At Ease,STR C3,Safety First,3M-SF201
PPR Pipe,Wavin,Plumbing,Pipes,1 inch,"Length: 12ft, Green",pcs,180,40,200,40,Goods,STR A3,Metro Supply,WVN-PPR-1
PPR Fittings,Wavin,Plumbing,Fittings,1 inch,Coupling,pcs,45,100,300,60,At Ease,STR A3,Metro Supply,WVN-CPL-1
